name,pos,tier,team,adp,proj_pts,vor,p_avail_r1,p_avail_r2,p_avail_r3,p_avail_r4,p_avail_r5,p_avail_r6,p_avail_r7,p_avail_r8,p_avail_r9,p_avail_r10,p_avail_r11,p_avail_r12,p_avail_r13,p_avail_r14,p_avail_r15,p_avail_r16
Jared Goff,QB,7,DET,114.0,260.5,-21.0,1.000,1.000,1.000,0.999,0.997,0.989,0.972,0.887,0.788,0.602,0.393,0.215,0.096,0.055,0.032,0.028
Jordan Love,QB,7,GB,116.0,260.5,-21.0,1.000,1.000,0.999,0.999,0.998,0.991,0.979,0.907,0.809,0.632,0.434,0.275,0.131,0.077,0.039,0.035
Tyler Shough,QB,7,NO,121.0,260.5,-21.0,1.000,1.000,1.000,1.000,0.999,0.993,0.985,0.921,0.845,0.699,0.524,0.360,0.192,0.121,0.068,0.060
Kyle Monangai,RB,21,CHI,113.0,115.5,-21.9,0.000,0.000,0.308,0.980,0.995,0.982,0.951,0.877,0.767,0.566,0.360,0.126,0.012,0.001,0.000,0.000
Aaron Jones Sr.,RB,21,MIN,119.0,115.5,-21.9,0.000,0.000,0.064,0.910,0.999,0.993,0.969,0.916,0.821,0.648,0.466,0.209,0.029,0.002,0.001,0.000
Tyrone Tracy Jr.,RB,21,NYG,122.0,115.5,-21.9,0.000,0.000,0.004,0.674,0.997,0.990,0.974,0.928,0.851,0.688,0.517,0.277,0.062,0.011,0.004,0.000
Jonathon Brooks,RB,21,CAR,124.0,115.5,-21.9,0.000,0.000,0.000,0.407,0.991,0.993,0.974,0.934,0.866,0.722,0.563,0.322,0.102,0.009,0.003,0.000
Jordan Mason,RB,21,MIN,125.0,115.5,-21.9,0.000,0.000,0.000,0.213,0.954,0.991,0.976,0.928,0.860,0.725,0.556,0.340,0.124,0.018,0.005,0.001
Jacory Croskey-Merritt,RB,21,WAS,126.0,115.5,-21.9,0.000,0.000,0.000,0.047,0.773,0.994,0.976,0.938,0.867,0.740,0.576,0.352,0.146,0.025,0.009,0.001
Keaton Mitchell,RB,21,LAC,128.0,115.5,-21.9,0.000,0.000,0.000,0.007,0.464,0.987,0.980,0.946,0.881,0.757,0.609,0.387,0.190,0.038,0.012,0.001
Josh Downs,WR,22,IND,98.0,127.5,-23.6,0.000,0.000,0.000,0.315,0.985,0.963,0.880,0.716,0.512,0.275,0.134,0.037,0.008,0.000,0.000,0.000
Michael Pittman Jr.,WR,22,PIT,102.0,127.5,-23.6,0.000,0.000,0.000,0.117,0.942,0.964,0.907,0.769,0.598,0.363,0.200,0.065,0.021,0.002,0.000,0.000
Makai Lemon,WR,22,PHI,103.0,127.5,-23.6,0.000,0.000,0.000,0.028,0.818,0.970,0.910,0.782,0.611,0.370,0.213,0.078,0.026,0.002,0.000,0.000
C.J. Stroud,QB,8,HOU,149.0,257.0,-24.5,1.000,1.000,1.000,1.000,1.000,0.999,0.997,0.984,0.964,0.924,0.849,0.746,0.592,0.486,0.375,0.352
Sam Darnold,QB,8,SEA,152.0,257.0,-24.5,1.000,1.000,1.000,1.000,1.000,0.997,0.996,0.985,0.967,0.929,0.869,0.778,0.630,0.542,0.434,0.408
Tyler Allgeier,RB,22,ARI,133.0,112.0,-25.4,0.000,0.000,0.000,0.000,0.150,0.896,0.980,0.959,0.912,0.805,0.679,0.470,0.272,0.069,0.028,0.004
Woody Marks,RB,22,HOU,134.0,112.0,-25.4,0.000,0.000,0.000,0.000,0.029,0.672,0.989,0.969,0.919,0.824,0.690,0.501,0.303,0.103,0.035,0.005
Alvin Kamara,RB,22,NO,135.0,112.0,-25.4,0.000,0.000,0.000,0.000,0.002,0.409,0.983,0.962,0.923,0.830,0.709,0.502,0.305,0.104,0.039,0.006
Chris Rodriguez Jr.,RB,22,JAX,136.0,112.0,-25.4,0.000,0.000,0.000,0.000,0.001,0.198,0.953,0.966,0.928,0.831,0.706,0.503,0.316,0.109,0.039,0.007
Dylan Sampson,RB,22,CLE,139.0,112.0,-25.4,0.000,0.000,0.000,0.000,0.000,0.079,0.874,0.971,0.935,0.856,0.736,0.559,0.360,0.145,0.057,0.012
Isiah Pacheco,RB,22,DET,142.0,112.0,-25.4,0.000,0.000,0.000,0.000,0.000,0.023,0.732,0.976,0.952,0.877,0.775,0.605,0.433,0.190,0.083,0.016
Jonah Coleman,RB,22,DEN,148.0,112.0,-25.4,0.000,0.000,0.000,0.000,0.000,0.006,0.527,0.978,0.956,0.897,0.817,0.670,0.495,0.256,0.123,0.033
Wan’Dale Robinson,WR,23,TEN,108.0,124.0,-27.1,0.000,0.000,0.000,0.006,0.618,0.980,0.933,0.836,0.703,0.480,0.294,0.128,0.048,0.004,0.000,0.000
Jakobi Meyers,WR,23,JAX,111.0,124.0,-27.1,0.000,0.000,0.000,0.000,0.397,0.983,0.950,0.875,0.754,0.533,0.341,0.153,0.069,0.006,0.001,0.001
Chris Godwin Jr.,WR,23,TB,112.0,124.0,-27.1,0.000,0.000,0.000,0.000,0.206,0.967,0.950,0.867,0.736,0.541,0.353,0.154,0.070,0.009,0.001,0.000
Daniel Jones,QB,9,IND,159.0,253.5,-28.0,1.000,1.000,1.000,1.000,1.000,0.998,0.996,0.989,0.974,0.942,0.893,0.829,0.711,0.623,0.523,0.495
Bryce Young,QB,9,CAR,171.0,253.5,-28.0,0.000,0.074,0.753,1.000,0.999,0.999,0.998,0.994,0.985,0.966,0.932,0.892,0.807,0.741,0.658,0.637
Cam Ward,QB,9,TEN,172.0,253.5,-28.0,0.000,0.001,0.166,0.902,1.000,1.000,0.999,0.993,0.985,0.963,0.940,0.899,0.822,0.760,0.680,0.661
Tyjae Spears,RB,23,TEN,155.0,108.5,-28.9,0.000,0.000,0.000,0.000,0.000,0.002,0.313,0.967,0.967,0.922,0.864,0.753,0.591,0.353,0.214,0.071
Brian Robinson Jr.,RB,23,ATL,156.0,108.5,-28.9,0.000,0.000,0.000,0.000,0.000,0.001,0.146,0.901,0.970,0.930,0.873,0.753,0.590,0.352,0.212,0.071
James Conner,RB,23,ARI,157.0,108.5,-28.9,0.000,0.000,0.000,0.000,0.000,0.000,0.057,0.740,0.970,0.927,0.871,0.762,0.606,0.367,0.237,0.084
Tank Bigsby,RB,23,PHI,158.0,108.5,-28.9,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.499,0.955,0.939,0.881,0.785,0.633,0.394,0.261,0.093
Zach Charbonnet,RB,23,SEA,160.0,108.5,-28.9,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.261,0.875,0.947,0.899,0.790,0.654,0.419,0.282,0.109
Braelon Allen,RB,23,NYJ,165.0,108.5,-28.9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.092,0.681,0.936,0.911,0.830,0.702,0.494,0.349,0.151
Ray Davis,RB,23,BUF,168.0,108.5,-28.9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.022,0.425,0.909,0.920,0.849,0.733,0.521,0.380,0.169
Mike Washington Jr.,RB,23,LV,174.0,108.5,-28.9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.197,0.809,0.938,0.867,0.771,0.575,0.444,0.222
Matthew Golden,WR,24,GB,123.0,120.5,-30.6,0.000,0.000,0.000,0.000,0.069,0.931,0.975,0.933,0.865,0.716,0.557,0.341,0.199,0.051,0.006,0.003
Khalil Shakir,WR,24,BUF,129.0,120.5,-30.6,0.000,0.000,0.000,0.000,0.018,0.813,0.984,0.952,0.890,0.759,0.633,0.438,0.285,0.101,0.021,0.009
Romeo Doubs,WR,24,NE,130.0,120.5,-30.6,0.000,0.000,0.000,0.000,0.005,0.632,0.982,0.949,0.899,0.788,0.655,0.444,0.297,0.110,0.026,0.014
Kaytron Allen,RB,24,WAS,177.0,104.0,-33.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.066,0.621,0.941,0.890,0.798,0.621,0.495,0.277
Emmett Johnson,RB,24,KC,178.0,103.8,-33.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.019,0.400,0.922,0.889,0.796,0.611,0.479,0.257
Nicholas Singleton,RB,24,TEN,179.0,103.5,-33.9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.204,0.860,0.888,0.792,0.615,0.485,0.268
Xavier Worthy,WR,25,KC,131.0,117.0,-34.1,0.000,0.000,0.000,0.000,0.001,0.428,0.986,0.958,0.906,0.788,0.657,0.459,0.318,0.134,0.043,0.025
Jayden Higgins,WR,25,HOU,132.0,117.0,-34.1,0.000,0.000,0.000,0.000,0.000,0.252,0.966,0.956,0.909,0.804,0.678,0.488,0.328,0.150,0.052,0.027
De’Zhaun Stribling,WR,25,SF,137.0,117.0,-34.1,0.000,0.000,0.000,0.000,0.000,0.120,0.900,0.968,0.928,0.847,0.746,0.574,0.414,0.215,0.087,0.051
Jalen Coker,WR,25,CAR,138.0,117.0,-34.1,0.000,0.000,0.000,0.000,0.000,0.040,0.748,0.967,0.931,0.851,0.748,0.577,0.429,0.233,0.108,0.067
KC Concepcion,WR,25,CLE,140.0,117.0,-34.1,0.000,0.000,0.000,0.000,0.000,0.011,0.499,0.958,0.936,0.864,0.767,0.602,0.454,0.250,0.132,0.083
Rashid Shaheed,WR,25,SEA,143.0,117.0,-34.1,0.000,0.000,0.000,0.000,0.000,0.001,0.257,0.926,0.947,0.883,0.798,0.638,0.500,0.298,0.176,0.111
Deebo Samuel Sr.,WR,25,SF,144.0,117.0,-34.1,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.813,0.951,0.884,0.799,0.642,0.504,0.299,0.192,0.124
Jalen Nailor,WR,25,LV,146.0,117.0,-34.1,0.000,0.000,0.000,0.000,0.000,0.000,0.029,0.625,0.946,0.884,0.800,0.660,0.525,0.333,0.234,0.144
Jauan Jennings,WR,26,MIN,147.0,117.0,-34.1,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.378,0.939,0.898,0.821,0.683,0.549,0.348,0.249,0.163
Jalen McMillan,WR,26,TB,151.0,117.0,-34.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.197,0.899,0.919,0.854,0.722,0.601,0.410,0.312,0.217
Sean Tucker,RB,24,TB,180.0,103.2,-34.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.086,0.738,0.887,0.810,0.645,0.521,0.283
Emanuel Wilson,RB,24,SEA,183.0,102.5,-34.9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.568,0.907,0.829,0.672,0.554,0.325
Geno Smith,QB,10,NYJ,193.0,245.0,-36.5,0.000,0.000,0.021,0.694,0.997,1.000,1.000,0.997,0.994,0.988,0.974,0.955,0.914,0.882,0.834,0.822
Aaron Rodgers,QB,10,PIT,195.0,244.5,-37.0,0.000,0.000,0.000,0.343,0.947,1.000,1.000,0.998,0.993,0.985,0.974,0.956,0.920,0.890,0.849,0.837
Jacoby Brissett,QB,10,ARI,196.0,244.2,-37.2,0.000,0.000,0.000,0.068,0.664,0.994,0.999,0.998,0.997,0.988,0.974,0.955,0.922,0.886,0.848,0.835
Stefon Diggs,WR,27,,153.0,113.5,-37.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.079,0.784,0.922,0.864,0.738,0.625,0.424,0.334,0.228
Travis Hunter,WR,27,JAX,154.0,113.5,-37.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.023,0.590,0.924,0.867,0.751,0.630,0.432,0.340,0.236
Denzel Boston,WR,27,CLE,162.0,113.5,-37.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.383,0.929,0.906,0.819,0.721,0.558,0.469,0.352
Kayshon Boutte,WR,27,NE,163.0,113.5,-37.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.216,0.884,0.908,0.819,0.720,0.557,0.478,0.369
Omar Cooper Jr.,WR,27,NYJ,167.0,113.5,-37.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.104,0.790,0.916,0.844,0.756,0.601,0.526,0.415
Antonio Williams,WR,27,WAS,169.0,113.5,-37.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.038,0.653,0.927,0.854,0.770,0.625,0.540,0.439
Adonai Mitchell,WR,27,NYJ,170.0,113.5,-37.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.477,0.919,0.865,0.787,0.634,0.551,0.447
Tre Tucker,WR,27,LV,175.0,113.5,-37.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.305,0.904,0.877,0.812,0.681,0.614,0.510
Kimani Vidal,RB,25,LAC,198.0,98.8,-38.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.364,0.920,0.902,0.793,0.689,0.472
Demond Claiborne,RB,25,MIN,200.0,98.2,-39.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.189,0.859,0.897,0.787,0.694,0.488
Isaac TeSlaa,WR,28,DET,181.0,108.0,-43.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.164,0.846,0.896,0.836,0.715,0.651,0.554
Malik Washington,WR,28,MIA,182.0,107.8,-43.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.077,0.736,0.905,0.852,0.738,0.676,0.584
Calvin Ridley,WR,28,TEN,184.0,107.2,-43.9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.027,0.563,0.901,0.859,0.746,0.686,0.604
Jaylin Noel,WR,28,HOU,185.0,107.0,-44.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.372,0.873,0.865,0.765,0.708,0.617
Jerry Jeudy,WR,28,CLE,187.0,106.5,-44.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.202,0.808,0.876,0.776,0.721,0.630
Rashod Bateman,WR,28,BAL,189.0,106.0,-45.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.088,0.697,0.879,0.786,0.735,0.647
Darnell Mooney,WR,28,NYG,190.0,105.8,-45.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.033,0.531,0.887,0.798,0.743,0.658
Ryan Flournoy,WR,28,DAL,191.0,105.5,-45.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.342,0.853,0.802,0.751,0.667
Tre Harris,WR,29,LAC,192.0,105.2,-45.9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.194,0.807,0.806,0.759,0.675
Tank Dell,WR,29,HOU,194.0,104.8,-46.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.086,0.715,0.831,0.776,0.704
Zachariah Branch,WR,29,ATL,197.0,104.0,-47.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.560,0.837,0.801,0.730
