name,pos,tier,team,adp,proj_pts,vor,p_avail_r1,p_avail_r2,p_avail_r3,p_avail_r4,p_avail_r5,p_avail_r6,p_avail_r7,p_avail_r8,p_avail_r9,p_avail_r10,p_avail_r11,p_avail_r12,p_avail_r13,p_avail_r14,p_avail_r15,p_avail_r16
Baltimore Ravens,DST,2,BAL,209.0,96.0,0.6,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.843,0.584
Chase McLaughlin,K,2,TB,221.0,103.0,0.6,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.886,0.665
Pittsburgh Steelers,DST,2,PIT,210.0,95.8,0.4,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.845,0.599
Evan McPherson,K,2,CIN,222.0,102.8,0.4,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.889,0.682
Los Angeles Chargers,DST,2,LAC,211.0,95.5,0.1,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.849,0.604
Harrison Mevis,K,2,LAR,223.0,102.5,0.1,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.893,0.682
Isaiah Likely,TE,4,NYG,115.0,95.5,0.0,1.000,1.000,1.000,1.000,0.998,0.986,0.967,0.901,0.810,0.581,0.426,0.200,0.111,0.023,0.013,0.003
Dallas Goedert,TE,4,PHI,117.0,95.5,0.0,1.000,1.000,1.000,0.999,0.998,0.988,0.970,0.915,0.821,0.624,0.475,0.232,0.140,0.034,0.021,0.006
Mark Andrews,TE,4,BAL,118.0,95.5,0.0,1.000,1.000,1.000,1.000,0.999,0.989,0.975,0.921,0.835,0.632,0.489,0.230,0.137,0.039,0.025,0.007
George Kittle,TE,4,SF,120.0,95.5,0.0,1.000,1.000,1.000,1.000,0.999,0.989,0.975,0.923,0.835,0.648,0.507,0.263,0.161,0.039,0.024,0.006
T.J. Hockenson,TE,4,MIN,127.0,95.5,0.0,1.000,1.000,1.000,1.000,1.000,0.991,0.980,0.944,0.883,0.737,0.616,0.382,0.266,0.089,0.057,0.019
Cleveland Browns,DST,2,CLE,212.0,95.2,-0.1,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.851,0.618
Jake Bates,K,2,DET,224.0,102.2,-0.1,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.899,0.698
Bhayshul Tuten,RB,16,JAX,82.0,136.5,-0.9,0.000,0.999,1.000,0.994,0.977,0.854,0.679,0.357,0.188,0.029,0.002,0.000,0.000,0.000,0.000,0.000
Marvin Harrison Jr.,WR,16,ARI,74.0,148.5,-2.6,0.000,0.781,0.999,0.986,0.947,0.738,0.506,0.178,0.071,0.005,0.000,0.000,0.000,0.000,0.000,0.000
Jaxson Dart,QB,4,NYG,85.0,278.0,-3.5,1.000,1.000,1.000,0.996,0.981,0.901,0.822,0.441,0.263,0.048,0.009,0.001,0.000,0.000,0.000,0.000
Juwan Johnson,TE,5,NO,141.0,92.0,-3.5,1.000,1.000,1.000,1.000,1.000,0.997,0.993,0.981,0.952,0.870,0.795,0.598,0.483,0.240,0.176,0.080
Chig Okonkwo,TE,5,WAS,145.0,92.0,-3.5,1.000,1.000,1.000,1.000,1.000,0.998,0.996,0.980,0.956,0.883,0.819,0.646,0.533,0.283,0.220,0.105
Hunter Henry,TE,5,NE,150.0,92.0,-3.5,1.000,1.000,1.000,1.000,1.000,0.998,0.997,0.984,0.961,0.901,0.848,0.693,0.596,0.358,0.287,0.147
Carnell Tate,WR,17,TEN,80.0,145.0,-6.1,0.000,0.356,0.993,0.994,0.969,0.830,0.656,0.319,0.171,0.030,0.005,0.000,0.000,0.000,0.000,0.000
Kyler Murray,QB,4,MIN,88.0,274.5,-7.0,1.000,1.000,1.000,0.998,0.988,0.933,0.863,0.507,0.333,0.091,0.024,0.004,0.001,0.001,0.000,0.000
AJ Barner,TE,6,SEA,161.0,88.5,-7.0,1.000,1.000,1.000,1.000,1.000,1.000,0.998,0.990,0.980,0.945,0.909,0.791,0.712,0.501,0.427,0.254
Brenton Strange,TE,6,JAX,164.0,88.5,-7.0,1.000,1.000,1.000,1.000,1.000,0.999,0.998,0.991,0.979,0.941,0.907,0.809,0.730,0.526,0.457,0.293
Oronde Gadsden II,TE,6,LAC,166.0,88.5,-7.0,1.000,1.000,1.000,1.000,1.000,0.999,0.998,0.993,0.984,0.949,0.919,0.831,0.761,0.555,0.489,0.319
Kenyon Sadiq,TE,6,NYJ,173.0,88.5,-7.0,1.000,1.000,1.000,1.000,1.000,0.999,0.998,0.993,0.985,0.961,0.934,0.865,0.804,0.637,0.576,0.405
