Round 1
Pick,Team,Player,Elapsed Time,Rank,Proj Fpts,
7,KGB,Alvin Kamara RB | NO ,27 sec,#55 RB,90.812984
8,David,**Brenton Strange TE | JAC ,0 sec,#15 TE,145.056
9,Win95,Will Reichard K | MIN,13 sec,#10 K,141
10,Cenk,Wan'Dale Robinson WR | TEN ,47 sec,#41 WR,145.0323
11,Sujay,Tyjae Spears RB | TEN ,1 min 7 sec,#43 RB,119.315015
12,Sly,Jake Bates K | DET,42 sec,#5 K,146
Round 16
Pick,Team,Player,Elapsed Time,Rank,Proj Fpts,
1,Sly,Kaelon Black RB | SF ,59 sec (13 min 29 sec),#49 RB,108.3219
2,Sujay,Spencer Shrader K | IND ,45 sec (15 min 12 sec),#3 K,153
3,Cenk,Chase McLaughlin K | TB ,60 sec (15 min 9 sec),#8 K,141
4,Win95,Jerry Jeudy WR | CLE ,6 sec (6 min 37 sec),#50 WR,137.4068
5,David,**Denzel Boston WR | CLE ,0 sec (3 min 9 sec),#55 WR,131.0212
6,KGB,Harrison Mevis K | LAR,59 sec (16 min 46 sec),#9 K,141
7,Tolga,Tre Tucker WR | LV ,12 sec (7 min 3 sec),#62 WR,121.1428
8,Hash,Kayshon Boutte WR | HOU ,26 sec (5 min 29 sec),#67 WR,113.4674
9,Nigel,Tyler Loop K | BAL ,1 min 5 sec (11 min 52 sec),#11 K,136
10,Kenan,Brian Robinson Jr. RB | ATL ,14 sec (9 min 40 sec),#62 RB,79.001275
11,TheOhZone,Keaton Mitchell RB | LAC ,13 sec (9 min 59 sec),#66 RB,70.303171
12,Keung ,*Hunter Henry TE | NE ,0 sec (9 min 23 sec),#18 TE,134.3698
